Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Dave Feitl\feitlda01,1987,1992,C,6-11,235,June 8 1962,University of Texas at El Paso
Kay Felder\feldeka01,2017,2018,G,5-9,176,March 29 1995,Oakland University
Cristiano Felicio\feliccr01,2016,2019,F-C,6-10,265,July 7 1992,
Carrick Felix\felixca01,2014,2014,G,6-6,201,August 17 1990,Arizona State University
Noel Felix\felixno01,2006,2006,F,6-9,225,October 4 1981,California State University Fresno
Ray Felix\felixra01,1954,1962,C,6-11,220,December 10 1930,Long Island University
Raymond Felton\feltora01,2006,2019,G,6-1,205,June 26 1984,University of North Carolina
Jake Fendley\fendlja01,1952,1953,G,6-0,180,June 12 1929,Northwestern University
Warren Fenley\fenlewa01,1947,1947,F,6-3,190,February 8 1922,Manhattan College
Desmond Ferguson\fergude01,2004,2004,G-F,6-7,203,July 22 1977,University of Missouri University of Detroit Mercy
Terrance Ferguson\fergute01,2018,2019,G-F,6-7,190,May 17 1998,
Rudy Fernandez\fernaru01,2009,2012,G,6-6,185,April 4 1985,
Eric Fernsten\fernser01,1976,1984,C-F,6-10,205,November 1 1953,University of San Francisco
Al Ferrari\ferraal01,1956,1963,G-F,6-4,190,July 6 1933,Michigan State University
Rolando Ferreira\ferrero01,1989,1989,C,7-1,240,May 24 1964,University of Houston
Duane Ferrell\ferredu01,1989,1999,F-G,6-7,209,February 28 1965,Georgia Institute of Technology
Yogi Ferrell\ferreyo01,2017,2019,G,6-0,180,May 9 1993,Indiana University
Arnie Ferrin\ferriar01,1949,1951,F-G,6-2,180,July 29 1925,University of Utah
Bob Ferry\ferrybo01,1960,1969,C-F,6-8,230,May 31 1937,Saint Louis University
Danny Ferry\ferryda01,1991,2003,F,6-10,230,October 17 1966,Duke University
Kyrylo Fesenko\fesenky01,2008,2012,C,7-1,288,December 24 1986,
Bobby Fields\fieldbo01,1972,1972,G,6-3,175,October 20 1949,La Salle University
Kenny Fields\fieldke01,1985,1988,F-G,6-5,220,February 9 1962,University of California Los Angeles
Landry Fields\fieldla01,2011,2015,F,6-7,210,June 27 1988,Stanford University
Ron Filipek\filipro01,1968,1968,F,6-5,205,February 5 1944,Tennessee Technological University
Greg Fillmore\fillmgr01,1971,1972,C,7-1,240,March 7 1947,Cheyney University of Pennsylvania
Larry Finch\finchla01,1974,1975,G,6-2,185,February 16 1951,University of Memphis
Hank Finkel\finkeha01,1967,1975,C,7-0,240,April 20 1942,University of Dayton
Michael Finley\finlemi01,1996,2010,G-F,6-7,215,March 6 1973,University of Wisconsin
Danny Finn\finnda01,1953,1955,G,6-1,185,May 29 1928,St. John's University
Dorian Finney-Smith\finnedo01,2017,2019,F,6-8,220,May 4 1993,University of Florida
Matt Fish\fishma01,1995,1997,C,6-11,235,November 18 1969,University of North Carolina at Wilmington
Derek Fisher\fishede01,1997,2014,G,6-1,200,August 9 1974,University of Arkansas at Little Rock
Richard Fisher\fisheri01,1972,1972,F,6-5,215,October 27 1948,Colorado State University
Gerald Fitch\fitchge01,2006,2006,G,6-3,188,August 12 1982,University of Kentucky
Bob Fitzgerald\fitzgbo01,1947,1949,F-C,6-5,190,March 14 1923,Seton Hall University
Dick Fitzgerald\fitzgdi01,1947,1948,F,6-2,175,November 18 1920,Fordham University
Marcus Fizer\fizerma01,2001,2006,F,6-9,262,August 10 1978,Iowa State University
Jerry Fleishman\fleisje01,1947,1953,G-F,6-2,190,February 14 1922,New York University
Al Fleming\flemial01,1978,1978,F,6-7,215,April 5 1954,University of Arizona
Ed Fleming\flemied01,1956,1960,G-F,6-3,189,July 25 1933,Niagara University
Vern Fleming\flemive01,1985,1996,G,6-5,185,February 4 1962,University of Georgia
Luis Flores\florelu01,2005,2005,G,6-2,200,April 11 1981,Rutgers University Manhattan College
Bruce Flowers\flowebr01,1983,1983,F,6-8,225,June 13 1957,University of Notre Dame
Sleepy Floyd\floydsl01,1983,1995,G,6-3,170,March 6 1960,Georgetown University
Jonny Flynn\flynnjo01,2010,2012,G,6-0,185,February 6 1989,Syracuse University
Mike Flynn\flynnmi01,1976,1978,G,6-2,180,July 31 1953,University of Kentucky
Larry Fogle\foglela01,1976,1976,G,6-5,205,March 19 1953,Canisius College
Jack Foley\foleyja01,1963,1963,F,6-3,170,April 19 1939,College of the Holy Cross
Isaac Fontaine\fontais01,2002,2002,G,6-4,210,April 16 1975,Washington State University
Levi Fontaine\fontale01,1971,1971,G,6-4,190,November 1 1948,University of Maryland Eastern Shore
Jeff Foote\footeje01,2012,2012,C,7-0,265,July 14 1987,Cornell University
Bryn Forbes\forbebr01,2017,2019,G,6-3,190,July 23 1993,Michigan State University
Gary Forbes\forbega01,2011,2012,F,6-7,220,February 25 1985,University of Virginia University of Massachusetts Amherst
Alphonso Ford\fordal01,1994,1995,G,6-1,190,October 31 1971,Mississippi Valley State University
Alton Ford\fordal02,2002,2004,F,6-9,275,May 29 1981,University of Houston
Bob Ford\fordbo01,1973,1973,F,6-7,228,January 26 1950,Purdue University
Chris Ford\fordch01,1973,1982,G-F,6-5,190,January 11 1949,Villanova University
Don Ford\forddo01,1976,1982,F,6-9,215,December 31 1952,University of New Mexico University of California Santa Barbara
Jake Ford\fordja01,1971,1972,G,6-3,180,April 29 1946,University of Maryland Eastern Shore
Phil Ford\fordph01,1979,1985,G,6-2,175,February 9 1956,University of North Carolina
Sharrod Ford\fordsh02,2006,2006,F,6-9,225,January 9 1982,Clemson University
Sherell Ford\fordsh01,1996,1996,F,6-7,210,August 26 1972,University of Illinois at Chicago
T.J. Ford\fordtj01,2004,2012,G,6-0,165,March 24 1983,University of Texas at Austin
Donnie Forman\formado01,1949,1949,G,5-10,175,January 17 1926,New York University
Bayard Forrest\forreba01,1978,1979,C,6-10,235,July 8 1954,Grand Canyon University
Joseph Forte\fortejo01,2002,2003,G,6-4,194,March 23 1981,University of North Carolina
Courtney Fortson\fortsco01,2012,2012,G,5-11,185,May 23 1988,University of Arkansas
Danny Fortson\fortsda01,1998,2007,F,6-7,260,March 27 1976,University of Cincinnati
Fred Foster\fostefr01,1969,1977,F,6-5,210,March 18 1946,Miami University
Greg Foster\fostegr01,1991,2003,F-C,6-11,240,October 3 1968,University of California Los Angeles University of Texas at El Paso
Jeff Foster\fosteje01,2000,2012,F-C,6-11,236,January 16 1977,Texas State University
Jimmy Foster\fosteja01,1975,1976,G,6-1,175,December 16 1951,University of Connecticut
Rod Foster\fostero01,1984,1986,G,6-1,160,October 10 1960,University of California Los Angeles
Antonis Fotsis\fotsian01,2002,2002,F,6-10,219,April 1 1981,
Evan Fournier\fournev01,2013,2019,G-F,6-7,205,October 29 1992,
Larry Foust\foustla01,1951,1962,C-F,6-9,215,June 24 1928,La Salle University
Calvin Fowler\fowleca01,1970,1970,G,6-0,175,February 11 1940,Saint Francis University
Jerry Fowler\fowleje01,1952,1952,C,6-8,230,June 20 1927,University of Missouri
Tremaine Fowlkes\fowlktr01,2002,2005,F,6-8,220,April 11 1976,University of California California State University Fresno
De'Aaron Fox\foxde01,2018,2019,G,6-3,175,December 20 1997,University of Kentucky
Harold Fox\foxha01,1973,1973,G,6-2,175,August 29 1949,Jacksonville University
Jim Fox\foxji01,1968,1977,C-F,6-10,230,April 7 1943,University of South Carolina
Rick Fox\foxri01,1992,2004,F-G,6-7,230,July 24 1969,University of North Carolina
Randy Foye\foyera01,2007,2017,G,6-4,213,September 24 1983,Villanova University
Adonal Foyle\foylead01,1998,2009,C,6-10,250,March 9 1975,Colgate University
Richie Frahm\frahmri01,2004,2008,G,6-5,210,August 14 1977,Gonzaga University
Steve Francis\francst01,2000,2008,G,6-3,195,February 21 1977,University of Maryland
Tellis Frank\frankte01,1988,1994,F-C,6-10,225,April 26 1965,Western Kentucky University
Nat Frankel\frankna01,1947,1947,F-G,6-0,195,November 3 1913,Brooklyn College
Jamaal Franklin\frankja01,2014,2015,G,6-5,191,July 21 1991,San Diego State University
William Franklin\frankwi01,1973,1976,F,6-7,220,October 19 1949,Purdue University
Ronald Franz\franzro01,1968,1973,F,6-7,205,October 20 1945,University of Kansas
Melvin Frazier\frazime01,2019,2019,G,6-6,200,August 30 1996,Tulane University
Tim Frazier\fraziti01,2015,2019,G,6-1,170,November 1 1990,Pennsylvania State University
Walt Frazier*\fraziwa01,1968,1980,G,6-4,200,March 29 1945,Southern Illinois University
Will Frazier\fraziwi01,1966,1969,C-F,6-7,210,August 24 1942,Grambling State University
Anthony Frederick\fredean01,1989,1992,F,6-7,205,December 7 1964,Pepperdine University
Jimmer Fredette\fredeji01,2012,2019,G,6-2,195,February 25 1989,Brigham Young University
World B. Free\freewo01,1976,1988,G,6-2,185,December 9 1953,Guilford College
Joel Freeland\freeljo01,2013,2015,F-C,6-10,250,February 7 1987,
Donnie Freeman\freemdo01,1968,1976,G,6-3,185,July 18 1944,University of Illinois at Urbana-Champaign
Gary Freeman\freemga01,1971,1971,F,6-9,210,July 25 1948,Oregon State University
Rod Freeman\freemro01,1974,1974,F,6-7,225,November 5 1950,Vanderbilt University
Matt Freije\freijma01,2005,2007,F,6-10,240,October 2 1981,Vanderbilt University
Frido Frey\freyfr01,1947,1947,F,6-2,195,October 26 1921,Long Island University
Larry Friend\frienla01,1958,1958,G-F,6-4,185,April 14 1935,University of California
Pat Frink\frinkpa01,1969,1969,G,6-4,195,February 18 1945,University of Colorado
Jim Fritsche\fritsji01,1954,1955,F-C,6-8,210,December 10 1931,Hamline University
Channing Frye\fryech01,2006,2019,C-F,7-0,255,May 17 1983,University of Arizona
Bernie Fryer\fryerbe01,1974,1975,G,6-3,185,December 25 1949,Brigham Young University
Frank Fucarino\fucarfr01,1947,1947,F,6-2,175,July 24 1920,Long Island University
Herm Fuetsch\fuetshe01,1948,1948,G,6-0,170,July 6 1918,
Joe Fulks*\fulksjo01,1947,1954,F-C,6-5,190,October 26 1921,Murray State University
Carl Fuller\fulleca01,1971,1972,C,6-9,225,January 10 1946,Bethune-Cookman College
Hiram Fuller\fullehi01,2004,2004,F,6-9,240,May 15 1981,California State University Fresno
Todd Fuller\fulleto02,1997,2001,C,6-11,255,July 25 1974,North Carolina State University
Tony Fuller\fulleto01,1981,1981,G,6-4,180,September 4 1958,Pepperdine University
Markelle Fultz\fultzma01,2018,2019,G,6-4,200,May 29 1998,University of Washington
Lawrence Funderburke\fundela01,1998,2005,F,6-9,230,December 15 1970,Indiana University Ohio State University
Terry Furlow\furlote01,1977,1980,G-F,6-4,190,October 18 1954,Michigan State University
Bill Gabor\gaborbi01,1950,1955,G-F,5-11,170,May 13 1922,Syracuse University
Dan Gadzuric\gadzuda01,2003,2012,C,6-11,240,February 2 1978,University of California Los Angeles
Deng Gai\gaide01,2006,2006,F,6-9,250,March 22 1982,Fairfield University
Elmer Gainer\gaineel01,1948,1950,F-C,6-6,195,November 22 1918,DePaul University
Bill Gaines\gainebi01,1969,1969,G,6-4,185,March 10 1946,East Texas State University
Corey Gaines\gaineco01,1989,1995,G,6-3,195,June 1 1965,University of California Los Angeles Loyola Marymount University
David Gaines\gaineda01,1968,1968,G,6-1,170,February 27 1942,LeMoyne-Owen College
Reece Gaines\gainere01,2004,2006,G,6-6,205,January 7 1981,University of Louisville
Sundiata Gaines\gainesu01,2010,2012,G,6-1,185,April 18 1986,University of Georgia
Mike Gale\galemi01,1972,1982,G,6-4,185,July 18 1950,Elizabeth City State University
Chad Gallagher\gallach01,1994,1994,C,6-10,255,May 30 1969,Creighton University
Harry Gallatin*\gallaha01,1949,1958,F-C,6-6,210,April 26 1927,Truman State University
Danilo Gallinari\gallida01,2009,2019,F,6-10,225,August 8 1988,
Langston Galloway\gallola01,2015,2019,G,6-2,200,December 9 1991,Saint Joseph's University
Dave Gambee\gambeda01,1959,1970,F,6-6,215,April 16 1937,Oregon State University
Kevin Gamble\gamblke01,1988,1997,F-G,6-5,210,November 13 1965,University of Iowa
Bob Gantt\ganttbo01,1947,1947,F-C,6-4,205,June 22 1922,Duke University
Jorge Garbajosa\garbajo01,2007,2008,F,6-9,245,December 19 1977,
Ruben Garces\garceru01,2001,2001,F,6-9,245,October 17 1973,Providence College
Alex Garcia\garcial01,2004,2005,G,6-3,220,March 4 1980,
Francisco Garcia\garcifr01,2006,2015,F-G,6-7,195,December 31 1981,University of Louisville
Chuck Gardner\gardnch01,1968,1968,F,6-8,205,September 30 1944,University of Colorado
Earl Gardner\gardnea01,1949,1949,F,6-3,195,September 18 1923,DePauw University
Kenneth Gardner\gardnke01,1976,1976,F,6-5,205,September 27 1949,University of Utah
Thomas Gardner\gardnth01,2008,2009,G,6-5,225,February 8 1985,University of Missouri
Vern Gardner\gardnve01,1950,1952,F-C,6-5,200,May 14 1925,University of Utah
Jack Garfinkel\garfija01,1947,1949,G,6-0,190,June 13 1918,St. John's University
Patricio Garino\garinpa01,2017,2017,G-F,6-6,210,May 17 1993,George Washington University
Gary Garland\garlaga01,1980,1980,G,6-4,180,October 12 1957,DePaul University
Winston Garland\garlawi01,1988,1995,G,6-2,170,December 19 1964,Missouri State University
Dick Garmaker\garmadi01,1956,1961,G-F,6-3,200,October 29 1932,University of Minnesota
Bill Garner\garnebi01,1968,1968,C,6-10,220,June 17 1940,University of Portland
Chris Garner\garnech01,1998,2001,G,5-10,156,February 2 1975,University of Memphis
Bill Garnett\garnebi02,1983,1986,F,6-9,225,April 22 1960,University of Wyoming
Kevin Garnett\garneke01,1996,2016,F-C,6-11,240,May 19 1976,
Marlon Garnett\garnema01,1999,1999,G,6-2,186,July 3 1975,Santa Clara University
Billy Garrett\garrebi01,2019,2019,G,6-6,213,October 16 1994,DePaul University
Calvin Garrett\garreca01,1981,1984,F,6-7,190,July 11 1956,Austin Peay State University Oral Roberts University
Dean Garrett\garrede01,1997,2002,C,6-10,225,November 27 1966,Indiana University
Diante Garrett\garredi02,2013,2014,G,6-4,190,November 3 1988,Iowa State University
Dick Garrett\garredi01,1970,1974,G,6-3,185,January 31 1947,Southern Illinois University
Rowland Garrett\garrero01,1973,1977,F,6-6,210,July 16 1950,Florida State University
Tom Garrick\garrito01,1989,1992,G,6-2,185,July 7 1966,University of Rhode Island
John Garris\garrijo01,1984,1984,F,6-8,205,June 6 1959,University of Michigan Boston College
Kiwane Garris\garriki01,1998,2000,G,6-2,183,September 24 1974,University of Illinois at Urbana-Champaign
Pat Garrity\garripa01,1999,2008,F,6-9,238,August 23 1976,University of Notre Dame
Jim Garvin\garviji01,1974,1974,F,6-7,200,February 5 1950,Boston University
Marc Gasol\gasolma01,2009,2019,C,7-1,255,January 29 1985,
Pau Gasol\gasolpa01,2002,2019,F-C,7-0,250,July 6 1980,
Frank Gates\gatesfr01,1950,1950,G,6-0,160,April 12 1920,Sam Houston State University
Chris Gatling\gatlich01,1992,2002,F-C,6-10,220,September 3 1967,Old Dominion University
Kenny Gattison\gattike01,1987,1996,F-C,6-8,225,May 23 1964,Old Dominion University
Rudy Gay\gayru01,2007,2019,F,6-8,230,August 17 1986,University of Connecticut
Ed Gayda\gaydaed01,1951,1951,G-F,6-4,210,May 11 1927,Washington State University
Andrew Gaze\gazean01,1994,1999,G,6-7,205,July 24 1965,Seton Hall University
Michael Gbinije\gbinimi01,2017,2017,G,6-7,200,June 5 1992,Duke University Syracuse University
Reggie Geary\gearyre01,1997,1998,G,6-2,187,August 31 1973,University of Arizona
Alonzo Gee\geeal01,2010,2017,G,6-6,225,May 29 1987,University of Alabama
Matt Geiger\geigema01,1993,2002,C,7-0,243,September 10 1969,Auburn University Georgia Institute of Technology
Mickael Gelabale\gelabmi01,2007,2013,F,6-7,215,May 22 1983,
Devean George\georgde01,2000,2010,G-F,6-8,220,August 29 1977,Augsburg College
Jack George\georgja01,1954,1961,G,6-2,190,November 13 1928,La Salle University
Paul George\georgpa01,2011,2019,F,6-9,220,May 2 1990,California State University Fresno
Tate George\georgta01,1991,1995,G,6-5,190,May 29 1968,University of Connecticut
Marcus Georges-Hunt\georgma01,2017,2018,G,6-5,216,March 28 1994,Georgia Institute of Technology
Gus Gerard\gerargu01,1975,1981,F-G,6-8,200,July 27 1953,University of Virginia
Derrick Gervin\gervide01,1990,1991,F,6-8,200,March 28 1963,University of Texas at San Antonio
George Gervin*\gervige01,1973,1986,G-F,6-7,180,April 27 1952,Eastern Michigan University
Gorham Getchell\getchgo01,1947,1947,C,6-4,205,August 14 1920,Temple University
John Gianelli\gianejo01,1973,1980,C-F,6-10,220,June 10 1950,University of the Pacific
Dick Gibbs\gibbsdi01,1972,1976,F-G,6-5,210,December 20 1948,University of Texas at El Paso
Daniel Gibson\gibsoda01,2007,2013,G,6-2,190,February 27 1986,University of Texas at Austin
Dee Gibson\gibsode01,1950,1950,F-G,5-11,175,August 25 1923,Western Kentucky University
Hoot Gibson\gibsoho01,1950,1950,F-C,6-5,198,December 5 1921,Creighton University
Jonathan Gibson\gibsojo01,2017,2018,G,6-2,185,November 8 1987,New Mexico State University
Mel Gibson\gibsome01,1964,1964,G,6-3,180,December 30 1940,Western Carolina University
Mike Gibson\gibsomi01,1984,1986,F,6-10,205,October 27 1960,University of South Carolina Upstate
Taj Gibson\gibsota01,2010,2019,F,6-9,232,June 24 1985,University of Southern California
J.R. Giddens\giddejr01,2009,2010,G,6-5,215,February 13 1985,University of Kansas University of New Mexico
Trey Gilder\gildetr01,2010,2010,F,6-9,185,January 24 1985,McNeese State University Northwestern State University
Harry Giles\gilesha01,2019,2019,F-C,6-10,240,April 22 1998,Duke University
Shai Gilgeous-Alexander\gilgesh01,2019,2019,G,6-6,181,July 12 1998,University of Kentucky
Eddie Gill\gilled01,2001,2009,G,6-0,190,August 16 1978,Weber State University
Kendall Gill\gillke01,1991,2005,G,6-5,195,May 25 1968,University of Illinois at Urbana-Champaign
Ben Gillery\gillebe01,1989,1989,C,7-0,235,September 19 1965,Georgetown University
Jack Gillespie\gilleja01,1970,1970,F,6-6,215,October 1 1947,Montana State University
Gene Gillette\gillege01,1947,1947,F,6-2,205,,Saint Mary's College of California
Armen Gilliam\gilliar01,1988,2000,F-C,6-9,230,May 28 1964,University of Nevada Las Vegas
Herm Gilliam\gillihe01,1970,1977,G-F,6-3,190,May 5 1946,Purdue University
Artis Gilmore*\gilmoar01,1972,1988,C,7-2,240,September 21 1949,Gardner-Webb University Jacksonville University
Walt Gilmore\gilmowa01,1971,1971,F,6-6,225,February 27 1947,Fort Valley State University
Chuck Gilmur\gilmuch01,1947,1951,F-C,6-4,225,August 13 1922,University of Washington
Manu Ginobili\ginobma01,2003,2018,G,6-6,205,July 28 1977,
Gordan Giricek\giricgo01,2003,2008,G-F,6-6,210,June 20 1977,
Jack Givens\givenja01,1979,1980,F-G,6-5,205,September 21 1956,University of Kentucky
Mickell Gladness\gladnmi01,2012,2012,C,6-11,220,July 26 1986,Alabama A&M University
George Glamack\glamage01,1949,1949,C-F,6-6,225,June 7 1918,University of North Carolina
Gerald Glass\glassge01,1991,1996,G-F,6-5,221,November 12 1967,Delta State University University of Mississippi
Mike Glenn\glennmi01,1978,1987,G,6-2,175,September 10 1955,Southern Illinois University
Normie Glick\glickno01,1950,1950,F,6-7,190,November 10 1927,Loyola Marymount University
Georgi Glouchkov\gloucge01,1986,1986,F,6-8,235,January 10 1960,
Clarence Glover\glovecl01,1972,1972,F,6-8,210,November 1 1947,Western Kentucky University
Dion Glover\glovedi01,2000,2005,G,6-5,228,October 22 1978,Georgia Institute of Technology
Andreas Glyniadakis\glynian01,2007,2007,C,7-1,280,August 21 1981,
Mike Gminski\gminsmi01,1981,1994,C,6-11,250,August 3 1959,Duke University
Rudy Gobert\goberru01,2014,2019,C,7-1,245,June 26 1992,
Dan Godfread\godfrda01,1991,1992,C,6-10,250,June 14 1967,University of Evansville
Tom Gola*\golato01,1956,1966,G-F,6-6,205,January 13 1933,La Salle University
Ben Goldfaden\goldfbe01,1947,1947,F,6-1,185,September 6 1913,George Washington University
Anthony Goldwire\goldwan01,1996,2006,G,6-1,182,September 6 1971,University of Houston
Ryan Gomes\gomesry01,2006,2014,F,6-7,250,September 1 1982,Providence College
Glen Gondrezick\gondrgl01,1978,1983,F-G,6-6,218,August 30 1955,University of Nevada Las Vegas
Grant Gondrezick\gondrgr01,1987,1989,G,6-5,205,January 19 1963,Pepperdine University
Drew Gooden\goodedr01,2003,2016,F,6-10,250,September 24 1981,University of Kansas
Gail Goodrich*\goodrga01,1966,1979,G,6-1,170,April 23 1943,University of California Los Angeles
Steve Goodrich\goodrst01,2001,2002,F,6-10,220,March 18 1976,Princeton University
Archie Goodwin\goodwar01,2014,2017,G,6-5,200,August 17 1994,University of Kentucky
Brandon Goodwin\goodwbr01,2019,2019,G,6-2,180,October 2 1995,University of Central Florida Florida Gulf Coast University
Pop Goodwin\goodwpo01,1947,1948,F-C,6-2,203,December 22 1920,
Aaron Gordon\gordoaa01,2015,2019,F,6-9,220,September 16 1995,University of Arizona
Ben Gordon\gordobe01,2005,2015,G,6-3,200,April 4 1983,University of Connecticut
Drew Gordon\gordodr01,2015,2015,F,6-9,245,July 12 1990,University of California Los Angeles University of New Mexico
Eric Gordon\gordoer01,2009,2019,G,6-4,215,December 25 1988,Indiana University
Lancaster Gordon\gordola01,1985,1988,G,6-3,185,June 24 1962,University of Louisville
Paul Gordon\gordopa01,1950,1950,F,6-3,185,April 8 1927,University of Notre Dame
Marcin Gortat\gortama01,2008,2019,C-F,6-11,240,February 17 1984,
Leo Gottlieb\gottlle01,1947,1948,G,5-11,180,November 28 1920,
Andrew Goudelock\goudean01,2012,2016,G,6-3,200,December 7 1988,College of Charleston
Gerald Govan\govange01,1968,1976,F-C,6-10,220,January 2 1942,Saint Mary of the Plains College
Bato Govedarica\govedba01,1954,1954,G,5-11,185,April 17 1928,DePaul University
Joe Graboski\grabojo01,1949,1962,F-C,6-7,195,January 15 1930,
Ricky Grace\graceri01,1994,1994,G,6-1,180,August 20 1967,Midland College University of Oklahoma
Calvin Graham\grahaca01,1968,1968,G,6-2,195,June 7 1944,Gannon University
Devonte' Graham\grahade01,2019,2019,G,6-2,185,February 22 1995,University of Kansas
Greg Graham\grahagr01,1994,1998,G,6-4,174,November 26 1970,Indiana University
Joey Graham\grahajo01,2006,2011,F,6-7,225,June 11 1982,University of Central Florida Oklahoma State University
Mal Graham\grahama01,1968,1969,G,6-1,185,February 23 1945,New York University
Orlando Graham\grahaor01,1989,1989,F,6-8,220,May 5 1965,West Texas A&M University Auburn University at Montgomery
Paul Graham\grahapa01,1992,1994,F-G,6-6,200,November 28 1967,Ohio University
Stephen Graham\grahast01,2006,2011,G,6-6,215,June 11 1982,University of Central Florida Oklahoma State University
Treveon Graham\grahatr01,2017,2019,G,6-5,225,October 28 1993,Virginia Commonwealth University
Jim Grandholm\grandji01,1991,1991,F-C,7-0,235,October 4 1960,University of Florida University of South Florida
Ron Grandison\grandro01,1989,1996,F,6-6,215,July 9 1964,University of California Irvine University of New Orleans
Danny Granger\grangda01,2006,2015,F,6-9,222,April 20 1983,Bradley University University of New Mexico
Stewart Granger\grangst01,1984,1987,G,6-3,190,October 27 1961,Villanova University
Brian Grant\grantbr01,1995,2006,F,6-9,254,March 5 1972,Xavier University
Bud Grant\grantbu01,1950,1951,F,6-3,195,May 20 1927,University of Minnesota
Gary Grant\grantga01,1989,2001,G,6-3,185,April 21 1965,University of Michigan
Greg Grant\grantgr01,1990,1996,G,5-7,140,August 29 1966,Trenton State University
Harvey Grant\grantha01,1989,1999,F,6-8,195,July 4 1965,Clemson University University of Oklahoma
Horace Grant\grantho01,1988,2004,F-C,6-10,215,July 4 1965,Clemson University
Jerami Grant\grantje01,2015,2019,F,6-9,220,March 12 1994,Syracuse University
Jerian Grant\grantje02,2016,2019,G,6-4,205,October 9 1992,University of Notre Dame
Josh Grant\grantjo01,1994,1994,F,6-9,223,August 7 1967,University of Utah
Paul Grant\grantpa01,1999,2004,C,7-0,245,January 6 1974,Boston College University of Wisconsin
Travis Grant\granttr01,1973,1976,F,6-7,215,January 1 1950,Kentucky State University
Donte Grantham\grantdo01,2019,2019,F,6-8,215,March 19 1995,Clemson University
Don Grate\gratedo01,1950,1950,F-G,6-2,185,August 27 1923,Ohio State University
Butch Graves\gravebu01,1985,1985,G,6-3,200,January 5 1962,Yale University
Aaron Gray\grayaa01,2008,2014,C,7-0,270,December 7 1984,University of Pittsburgh
Devin Gray\grayde01,1997,2000,F,6-7,240,May 31 1972,Clemson University
Ed Gray\grayed01,1998,1999,G,6-3,210,September 27 1975,University of Tennessee University of California
Evric Gray\grayev01,1997,1997,F,6-7,235,December 13 1969,University of Nevada Las Vegas
Gary Gray\grayga01,1968,1968,G,6-1,185,February 23 1945,Oklahoma City University
Josh Gray\grayjo01,2018,2018,G,6-1,180,September 9 1993,Louisiana State University
Leonard Gray\grayle01,1975,1977,F,6-8,240,December 19 1951,California State University Long Beach
Stuart Gray\grayst01,1985,1991,C-F,7-0,235,May 27 1963,University of California Los Angeles
Sylvester Gray\graysy01,1989,1989,F,6-6,230,July 8 1967,University of Memphis
Wyndol Gray\graywy01,1947,1948,G-F,6-1,175,March 20 1922,Harvard University
Jeff Grayer\grayeje01,1989,1998,F-G,6-5,200,December 17 1965,Iowa State University
Bob Greacen\greacbo01,1970,1972,F,6-7,206,September 15 1947,Rutgers University
A.C. Green\greenac01,1986,2001,F-C,6-9,220,October 4 1963,Oregon State University
Danny Green\greenda02,2010,2019,G-F,6-6,215,June 22 1987,University of North Carolina
Devin Green\greende01,2006,2006,G,6-7,210,October 25 1982,Hampton University
Draymond Green\greendr01,2013,2019,F,6-7,230,March 4 1990,Michigan State University
Erick Green\greener01,2015,2016,G,6-4,185,May 9 1991,Virginia Polytechnic Institute and State University
Gerald Green\greenge01,2006,2019,G-F,6-7,205,January 26 1986,
JaMychal Green\greenja01,2015,2019,F,6-9,227,June 21 1990,University of Alabama
Jeff Green\greenje02,2008,2019,F,6-9,235,August 28 1986,Georgetown University
Johnny Green\greenjo01,1960,1973,F-C,6-5,200,December 8 1933,Michigan State University
Ken Green\greenke01,1986,1986,F,6-8,215,September 19 1959,University of Texas-Pan American
Kenny Green\greenke02,1986,1987,F,6-6,210,October 11 1964,Wake Forest University
Lamar Green\greenla01,1970,1975,F-C,6-7,210,March 22 1947,Morehead State University
Litterial Green\greenli01,1993,1999,G,6-1,185,March 7 1970,University of Georgia
Luther Green\greenlu01,1970,1973,F,6-7,190,November 13 1946,Long Island University
Mike Green\greenmi01,1974,1980,C-F,6-10,200,August 6 1951,Louisiana Tech University
Rickey Green\greenri01,1978,1992,G,6-0,170,August 18 1954,University of Michigan
Sean Green\greense01,1992,1994,G-F,6-5,210,February 2 1970,North Carolina State University Iona College
Si Green\greensi01,1957,1966,G-F,6-2,185,August 20 1933,Duquesne University
Sidney Green\greensi02,1984,1993,F-C,6-9,220,January 4 1961,University of Nevada Las Vegas
Steve Green\greenst01,1976,1979,F,6-7,220,October 4 1953,Indiana University
Taurean Green\greenta01,2008,2008,G,6-0,177,November 28 1986,University of Florida
Tommie Green\greento01,1979,1979,G,6-2,185,April 8 1956,Southern University and A&M College
Willie Green\greenwi01,2004,2015,G,6-4,200,July 28 1981,University of Detroit Mercy
Donte Greene\greendo01,2009,2012,F,6-11,226,February 21 1988,Syracuse University
Orien Greene\greenor01,2006,2011,G,6-4,208,February 4 1982,University of Florida University of Louisiana at Lafayette
Jerry Greenspan\greenje01,1964,1965,F,6-5,195,November 22 1941,University of Maryland
Dave Greenwood\greenda01,1980,1991,F-C,6-9,222,May 27 1957,University of California Los Angeles
Hal Greer*\greerha01,1959,1973,G-F,6-2,175,June 26 1936,Marshall University
Lynn Greer\greerly01,2007,2007,G,6-2,175,October 23 1979,Temple University
Gary Gregor\gregoga01,1969,1974,F-C,6-7,225,August 13 1945,University of South Carolina
